"GB
case",Date Of Birth,"Date BSE
Confirmed",County Of Birth,Method Of Detection
133,26/03/2001,10/05/2006,North Yorkshire,"Active Surveillance - Fallen Stock
Survey"
134,22/10/1998,26/06/2006,Dorset,Passive Surveillance
135,18/02/1997,10/08/2006,Dyfed,"Active Surveillance - OTM Human
Consumption (Healthy)"
136,06/04/2000,05/09/2006,Highland,Passive Surveillance
137,10/09/1999,15/09/2006,Dorset,"Active Surveillance - OTM Human
Consumption (Healthy)"
138,12/08/2002,25/09/2006,Buckinghamshire,"Active Surveillance - OTM Human
Consumption (Healthy)"
139,01/06/2001,06/12/2006,North Yorkshire,"Active Surveillance - Fallen Stock
Survey"
140,07/10/1996,19/12/2006,Dyfed,"Active Surveillance - Fallen Stock
Survey"
141,08/03/1998,28/02/2007,Gwynedd,"Active Surveillance - Fallen Stock
Survey"
142,04/08/1998,07/03/2007,Powys,"Active Surveillance - Fallen Stock
Survey"
143,24/09/1999,14/03/2007,Lancashire,"Active Surveillance - Fallen Stock
Survey"
144,30/08/1998,11/04/2007,Cornwall,"Active Surveillance - Fallen Stock
Survey"
145,27/07/2000,18/05/2007,Kent,"Active Surveillance - OTM Human
Consumption (Healthy)"
146,28/08/1998,23/05/2007,Durham,"Active Surveillance - Fallen Stock
Survey"
147,26/05/1998,06/07/2007,Cornwall,"Active Surveillance - Fallen Stock
Survey"
148,05/04/1999,23/07/2007,Somerset,"Active Surveillance - OTM Human
Consumption (Healthy)"
149,19/10/2000,29/08/2007,Staffordshire,"Active Surveillance - Fallen Stock
Survey"
150,21/09/1998,14/09/2007,Avon,"Active Surveillance - OTM Human
Consumption (Healthy)"
151,14/04/2002,05/11/2007,Gwynedd,"Active Surveillance - Fallen Stock
Survey"
152,27/10/1999,09/11/2007,Somerset,Passive Surveillance
153,08/05/2002,12/12/2007,Highland,"Active Surveillance - Fallen Stock
Survey"
154,12/10/2002,22/01/2008,Hereford & Worcester,"Active Surveillance - Fallen Stock
Survey"
155,30/09/1997,25/02/2008,Clwyd,"Active Surveillance - OTM Human
Consumption (Healthy)"
156,28/07/1999,26/02/2008,Staffordshire,"Active Surveillance - Fallen Stock
Survey"
157,26/02/1998,07/03/2008,Clwyd,"Active Surveillance - Fallen Stock
Survey"
158,27/11/1998,02/04/2008,Staffordshire,"Active Surveillance - Fallen Stock
Survey"
159,11/01/2003,21/07/2008,Devon,"Active Surveillance - OTM Human
Consumption (Healthy)"
160,24/11/1999,29/07/2008,Somerset,"Active Surveillance - OTM Human
Consumption (Healthy)"
161,16/07/2002,03/09/2008,Gwent,Passive Surveillance
162,30/10/1996,19/11/2008,Cumbria,"Active Surveillance - Fallen Stock
Survey"
163,02/05/2002,26/11/2008,Gwent,Active Surveillance - Cohort
164,26/09/1996,03/12/2008,Gwynedd,"Active Surveillance - OTM Human
Consumption (Healthy)"
165,01/03/1999,19/12/2008,Somerset,"Active Surveillance - Fallen Stock
Survey"
166,30/09/2003,17/11/2009,Wiltshire,"Active Surveillance - Fallen Stock
Survey"
167,29/09/2002,21/12/2009,Derbyshire,"Active Surveillance - Human
Consumption (Emergency Slaughter)"
168,22/06/2000,03/02/2010,Gwent,"Active Surveillance - Fallen Stock
Survey"
169,01/10/1998,08/03/2010,Hereford & Worcester,"Active Surveillance - Fallen Stock
Survey"
170,24/10/2004,20/04/2010,Cheshire,"Active Surveillance - Fallen Stock
Survey"
171,18/04/1997,14/10/2010,Avon,"Active Surveillance - Fallen Stock
Survey"
172,16/11/2004,14/12/2010,Somerset,"Active Surveillance - Fallen Stock
Survey"
173,16/02/1999,16/03/2011,Shropshire,"Active Surveillance - Fallen Stock
Survey"
174,30/08/1998,01/06/2011,Somerset,"Active Surveillance - Fallen Stock
Survey"
175,09/07/2000,01/12/2011,Buckinghamshire,"Active Surveillance - Fallen Stock
Survey"
176,28/07/2006,12/12/2012,Cheshire,"Active Surveillance - Fallen Stock
Survey"
177,15/06/2000,24/05/2013,Gwynedd,"Active Surveillance - Fallen Stock
Survey"
178,07/02/2007,29/07/2013,Cambridgeshire,"Active Surveillance - Fallen Stock
Survey"
